#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 128600      1.14e+00    1.17e+00      1.43e-03    1.06e-03      6.84e-02    7.01e-02    2.8e-04
 128700      1.12e+00    1.14e+00      9.19e-04    2.16e-03      6.71e-02    6.81e-02    2.8e-04
 128800      1.16e+00    1.13e+00      5.07e-03    3.23e-03      6.92e-02    6.78e-02    2.8e-04
 128900      1.20e+00    1.19e+00      3.75e-04    4.05e-04      7.19e-02    7.12e-02    2.8e-04
 129000      1.15e+00    1.07e+00      2.14e-03    1.38e-03      6.89e-02    6.40e-02    2.8e-04
 129100      1.10e+00    1.12e+00      3.65e-03    1.58e-03      6.60e-02    6.72e-02    2.8e-04
 129200      1.12e+00    1.02e+00      2.16e-03    1.12e-03      6.68e-02    6.13e-02    2.8e-04
 129300      1.07e+00    1.21e+00      2.00e-03    2.16e-03      6.40e-02    7.25e-02    2.8e-04
 129400      1.15e+00    1.11e+00      1.56e-03    2.99e-04      6.88e-02    6.65e-02    2.8e-04
 129500      1.09e+00    1.05e+00      4.07e-03    2.80e-03      6.54e-02    6.31e-02    2.8e-04
 129600      1.17e+00    1.13e+00      8.40e-03    7.63e-03      6.99e-02    6.76e-02    2.8e-04
 129700      1.21e+00    1.26e+00      2.93e-03    3.13e-03      7.24e-02    7.57e-02    2.8e-04
 129800      1.15e+00    1.15e+00      7.36e-04    3.50e-04      6.90e-02    6.87e-02    2.8e-04
 129900      1.13e+00    1.04e+00      3.95e-03    3.32e-03      6.78e-02    6.22e-02    2.8e-04
 130000      1.22e+00    1.00e+00      3.96e-03    3.25e-03      7.47e-02    6.15e-02    2.6e-04
 130100      1.10e+00    1.05e+00      1.34e-03    5.42e-04      6.75e-02    6.46e-02    2.6e-04
 130200      1.05e+00    1.00e+00      7.23e-04    1.77e-03      6.49e-02    6.18e-02    2.6e-04
 130300      1.13e+00    1.08e+00      7.84e-04    7.82e-04      6.92e-02    6.63e-02    2.6e-04
 130400      1.15e+00    1.10e+00      2.77e-03    1.83e-03      7.04e-02    6.74e-02    2.6e-04
 130500      1.12e+00    9.82e-01      1.97e-03    2.93e-04      6.90e-02    6.04e-02    2.6e-04
 130600      1.07e+00    1.20e+00      2.10e-03    1.50e-03      6.59e-02    7.40e-02    2.6e-04
 130700      1.11e+00    1.23e+00      7.39e-04    7.54e-04      6.81e-02    7.54e-02    2.6e-04
 130800      1.08e+00    9.89e-01      5.92e-03    5.45e-03      6.61e-02    6.07e-02    2.6e-04
 130900      1.15e+00    1.04e+00      2.91e-03    2.09e-03      7.05e-02    6.37e-02    2.6e-04
 131000      1.08e+00    1.06e+00      4.29e-03    3.68e-03      6.66e-02    6.53e-02    2.6e-04
 131100      1.07e+00    9.50e-01      4.03e-03    3.82e-03      6.58e-02    5.84e-02    2.6e-04
 131200      1.08e+00    1.05e+00      4.71e-04    1.08e-04      6.64e-02    6.44e-02    2.6e-04
 131300      1.08e+00    1.03e+00      4.45e-04    2.40e-04      6.67e-02    6.32e-02    2.6e-04
 131400      1.07e+00    1.01e+00      4.78e-03    3.71e-03      6.57e-02    6.19e-02    2.6e-04
 131500      1.05e+00    1.11e+00      2.03e-03    1.22e-03      6.49e-02    6.80e-02    2.6e-04
 131600      1.05e+00    1.01e+00      6.06e-04    5.49e-04      6.44e-02    6.18e-02    2.6e-04
 131700      1.11e+00    9.56e-01      6.06e-04    4.81e-04      6.80e-02    5.88e-02    2.6e-04
 131800      1.10e+00    9.52e-01      8.51e-04    1.74e-03      6.74e-02    5.85e-02    2.6e-04
 131900      1.12e+00    1.03e+00      6.42e-03    6.47e-03      6.89e-02    6.32e-02    2.6e-04
 132000      1.06e+00    1.02e+00      1.95e-03    1.74e-03      6.53e-02    6.24e-02    2.6e-04
 132100      1.06e+00    1.06e+00      2.56e-03    2.35e-03      6.49e-02    6.51e-02    2.6e-04
 132200      1.12e+00    1.02e+00      5.27e-03    3.89e-03      6.90e-02    6.25e-02    2.6e-04
 132300      1.20e+00    1.16e+00      8.00e-03    6.87e-03      7.37e-02    7.11e-02    2.6e-04
 132400      1.11e+00    1.08e+00      4.90e-03    4.22e-03      6.80e-02    6.66e-02    2.6e-04
 132500      1.13e+00    1.05e+00      3.58e-03    4.00e-03      6.97e-02    6.45e-02    2.6e-04
 132600      1.10e+00    1.02e+00      2.06e-03    1.40e-03      6.79e-02    6.30e-02    2.6e-04
 132700      1.10e+00    1.06e+00      7.16e-03    6.55e-03      6.73e-02    6.52e-02    2.6e-04
 132800      1.08e+00    1.08e+00      4.72e-03    2.81e-03      6.62e-02    6.65e-02    2.6e-04
 132900      1.12e+00    9.61e-01      3.70e-03    2.64e-03      6.89e-02    5.90e-02    2.6e-04
 133000      1.11e+00    1.10e+00      6.55e-04    8.26e-05      6.83e-02    6.78e-02    2.6e-04
 133100      1.10e+00    1.03e+00      2.14e-03    3.37e-03      6.77e-02    6.31e-02    2.6e-04
 133200      1.14e+00    1.07e+00      3.84e-03    2.79e-03      6.98e-02    6.57e-02    2.6e-04
 133300      1.07e+00    9.67e-01      8.40e-04    1.13e-03      6.60e-02    5.95e-02    2.6e-04
 133400      1.03e+00    1.14e+00      1.51e-03    2.41e-03      6.33e-02    7.04e-02    2.6e-04
 133500      1.06e+00    9.36e-01      5.13e-04    2.69e-04      6.53e-02    5.76e-02    2.6e-04
 133600      1.08e+00    1.04e+00      2.83e-03    1.81e-03      6.66e-02    6.42e-02    2.6e-04
 133700      1.03e+00    1.03e+00      3.49e-03    2.87e-03      6.34e-02    6.34e-02    2.6e-04
 133800      1.03e+00    9.61e-01      1.52e-03    1.30e-03      6.31e-02    5.91e-02    2.6e-04
 133900      1.02e+00    9.94e-01      4.61e-03    4.03e-03      6.29e-02    6.11e-02    2.6e-04
 134000      1.02e+00    1.19e+00      1.38e-04    2.05e-04      6.29e-02    7.32e-02    2.6e-04
 134100      1.13e+00    1.11e+00      1.34e-03    7.46e-04      6.97e-02    6.84e-02    2.6e-04
 134200      1.11e+00    1.14e+00      2.70e-03    3.27e-03      6.80e-02    7.00e-02    2.6e-04
 134300      1.12e+00    1.06e+00      4.07e-03    5.05e-03      6.88e-02    6.54e-02    2.6e-04
 134400      1.08e+00    1.04e+00      3.97e-03    4.22e-03      6.66e-02    6.39e-02    2.6e-04
 134500      1.05e+00    1.08e+00      1.49e-03    1.91e-03      6.47e-02    6.63e-02    2.6e-04
 134600      1.13e+00    1.10e+00      1.01e-03    2.56e-03      6.96e-02    6.75e-02    2.6e-04
 134700      1.13e+00    1.05e+00      4.39e-03    3.94e-03      6.94e-02    6.42e-02    2.6e-04
 134800      1.09e+00    1.06e+00      2.76e-03    3.01e-03      6.72e-02    6.54e-02    2.6e-04
 134900      1.13e+00    1.02e+00      1.28e-03    1.31e-03      6.98e-02    6.24e-02    2.6e-04
 135000      1.06e+00    1.15e+00      3.51e-03    3.29e-03      6.71e-02    7.22e-02    2.5e-04
 135100      1.07e+00    1.12e+00      7.84e-03    7.51e-03      6.74e-02    7.03e-02    2.5e-04
 135200      1.08e+00    1.06e+00      9.60e-04    2.66e-04      6.79e-02    6.67e-02    2.5e-04
 135300      1.01e+00    1.10e+00      2.05e-03    2.30e-03      6.37e-02    6.94e-02    2.5e-04
 135400      1.04e+00    9.43e-01      1.00e-03    6.06e-04      6.57e-02    5.95e-02    2.5e-04
 135500      1.08e+00    1.03e+00      3.86e-03    3.22e-03      6.81e-02    6.52e-02    2.5e-04
 135600      1.05e+00    9.91e-01      9.77e-04    4.64e-04      6.65e-02    6.26e-02    2.5e-04
 135700      1.11e+00    1.09e+00      9.13e-04    1.76e-04      6.98e-02    6.85e-02    2.5e-04
 135800      1.12e+00    9.44e-01      2.41e-04    1.28e-04      7.09e-02    5.96e-02    2.5e-04
 135900      1.04e+00    9.68e-01      4.23e-03    3.65e-03      6.54e-02    6.10e-02    2.5e-04
 136000      1.07e+00    9.91e-01      3.51e-03    3.50e-03      6.73e-02    6.25e-02    2.5e-04
 136100      1.11e+00    1.08e+00      4.00e-03    4.88e-03      6.99e-02    6.83e-02    2.5e-04
 136200      1.03e+00    9.64e-01      2.47e-03    2.25e-03      6.52e-02    6.08e-02    2.5e-04
 136300      1.13e+00    9.42e-01      1.54e-03    1.12e-03      7.10e-02    5.94e-02    2.5e-04
 136400      1.06e+00    9.62e-01      1.40e-03    1.06e-03      6.71e-02    6.07e-02    2.5e-04
 136500      1.09e+00    1.03e+00      1.62e-03    1.27e-03      6.88e-02    6.48e-02    2.5e-04
 136600      1.13e+00    1.06e+00      1.16e-03    2.09e-03      7.11e-02    6.67e-02    2.5e-04
 136700      1.11e+00    1.05e+00      4.18e-03    3.83e-03      7.00e-02    6.60e-02    2.5e-04
 136800      1.07e+00    1.04e+00      5.46e-03    4.98e-03      6.73e-02    6.57e-02    2.5e-04
 136900      1.10e+00    1.07e+00      1.23e-03    3.24e-04      6.96e-02    6.73e-02    2.5e-04
 137000      1.10e+00    1.03e+00      4.94e-03    4.42e-03      6.93e-02    6.48e-02    2.5e-04
 137100      1.04e+00    1.06e+00      2.41e-03    1.02e-03      6.55e-02    6.66e-02    2.5e-04
 137200      1.07e+00    1.08e+00      3.97e-03    2.77e-03      6.74e-02    6.82e-02    2.5e-04
 137300      1.07e+00    9.43e-01      3.18e-04    1.09e-04      6.75e-02    5.95e-02    2.5e-04
 137400      1.10e+00    1.06e+00      1.80e-03    1.82e-03      6.92e-02    6.69e-02    2.5e-04
 137500      1.17e+00    1.12e+00      4.56e-04    1.36e-03      7.37e-02    7.04e-02    2.5e-04
 137600      1.06e+00    1.13e+00      3.90e-03    3.07e-03      6.66e-02    7.10e-02    2.5e-04
 137700      1.03e+00    1.16e+00      1.13e-03    1.12e-03      6.52e-02    7.30e-02    2.5e-04
 137800      1.06e+00    1.04e+00      2.22e-03    1.76e-03      6.66e-02    6.54e-02    2.5e-04
 137900      1.03e+00    1.06e+00      2.50e-03    2.10e-03      6.51e-02    6.70e-02    2.5e-04
 138000      1.12e+00    1.10e+00      3.49e-03    2.96e-03      7.08e-02    6.97e-02    2.5e-04
 138100      1.09e+00    1.13e+00      5.01e-03    3.45e-03      6.87e-02    7.13e-02    2.5e-04
 138200      1.06e+00    1.15e+00      1.42e-03    1.31e-03      6.66e-02    7.28e-02    2.5e-04
 138300      1.11e+00    1.03e+00      8.44e-03    6.98e-03      7.00e-02    6.46e-02    2.5e-04
 138400      1.08e+00    9.52e-01      1.13e-03    1.83e-03      6.83e-02    6.00e-02    2.5e-04
 138500      1.10e+00    1.04e+00      1.33e-03    4.18e-05      6.94e-02    6.56e-02    2.5e-04
 138600      1.05e+00    9.11e-01      2.79e-03    2.20e-03      6.64e-02    5.75e-02    2.5e-04
 138700      1.07e+00    1.04e+00      2.83e-03    2.25e-03      6.78e-02    6.57e-02    2.5e-04
 138800      9.95e-01    8.67e-01      5.60e-03    4.76e-03      6.26e-02    5.46e-02    2.5e-04
 138900      1.05e+00    1.01e+00      3.27e-03    2.18e-03      6.65e-02    6.38e-02    2.5e-04
 139000      1.11e+00    9.98e-01      2.52e-03    2.78e-03      7.02e-02    6.30e-02    2.5e-04
 139100      1.16e+00    9.63e-01      2.61e-04    9.77e-04      7.35e-02    6.07e-02    2.5e-04
 139200      1.10e+00    1.11e+00      1.07e-03    9.04e-04      6.94e-02    7.03e-02    2.5e-04
 139300      1.05e+00    1.01e+00      4.47e-04    2.52e-04      6.60e-02    6.39e-02    2.5e-04
 139400      1.16e+00    1.09e+00      2.44e-03    8.22e-04      7.32e-02    6.87e-02    2.5e-04
 139500      1.09e+00    9.81e-01      2.45e-03    3.29e-03      6.87e-02    6.19e-02    2.5e-04
 139600      1.08e+00    1.09e+00      3.61e-03    3.35e-03      6.84e-02    6.87e-02    2.5e-04
 139700      1.05e+00    1.09e+00      1.40e-03    1.03e-03      6.60e-02    6.90e-02    2.5e-04
 139800      1.10e+00    1.05e+00      1.73e-03    2.82e-03      6.92e-02    6.62e-02    2.5e-04
 139900      1.05e+00    1.12e+00      3.42e-03    2.93e-03      6.59e-02    7.08e-02    2.5e-04
 140000      1.03e+00    1.01e+00      7.82e-04    5.48e-04      6.69e-02    6.51e-02    2.4e-04
 140100      1.17e+00    1.04e+00      1.79e-03    1.11e-03      7.60e-02    6.71e-02    2.4e-04
 140200      1.05e+00    9.80e-01      3.13e-03    3.88e-03      6.81e-02    6.34e-02    2.4e-04
 140300      1.03e+00    1.16e+00      2.16e-03    2.00e-03      6.64e-02    7.48e-02    2.4e-04
 140400      1.08e+00    1.22e+00      5.07e-03    3.67e-03      7.00e-02    7.92e-02    2.4e-04
 140500      9.95e-01    1.03e+00      3.14e-03    3.55e-03      6.44e-02    6.69e-02    2.4e-04
 140600      1.03e+00    1.11e+00      5.77e-04    6.02e-04      6.67e-02    7.15e-02    2.4e-04
 140700      1.04e+00    1.04e+00      3.96e-03    4.07e-03      6.74e-02    6.72e-02    2.4e-04
 140800      9.77e-01    1.03e+00      8.21e-03    7.57e-03      6.29e-02    6.61e-02    2.4e-04
 140900      1.02e+00    1.11e+00      5.89e-03    4.16e-03      6.59e-02    7.16e-02    2.4e-04
 141000      1.07e+00    9.50e-01      1.22e-03    1.57e-03      6.94e-02    6.15e-02    2.4e-04
 141100      1.16e+00    1.09e+00      6.58e-03    6.24e-03      7.50e-02    7.02e-02    2.4e-04
 141200      1.15e+00    9.88e-01      3.27e-03    2.96e-03      7.41e-02    6.39e-02    2.4e-04
 141300      1.02e+00    9.49e-01      3.73e-03    2.40e-03      6.59e-02    6.14e-02    2.4e-04
 141400      9.89e-01    1.06e+00      9.84e-04    4.98e-05      6.40e-02    6.84e-02    2.4e-04
 141500      1.05e+00    9.71e-01      1.23e-03    1.93e-04      6.82e-02    6.28e-02    2.4e-04
 141600      1.03e+00    9.64e-01      9.37e-04    1.60e-03      6.66e-02    6.24e-02    2.4e-04
 141700      1.11e+00    1.13e+00      1.04e-03    1.43e-03      7.17e-02    7.31e-02    2.4e-04
 141800      1.05e+00    1.05e+00      3.22e-03    1.78e-03      6.81e-02    6.78e-02    2.4e-04
 141900      1.03e+00    1.07e+00      1.76e-03    1.85e-03      6.68e-02    6.91e-02    2.4e-04
 142000      1.12e+00    1.20e+00      6.99e-04    1.51e-03      7.23e-02    7.74e-02    2.4e-04
 142100      1.06e+00    1.05e+00      2.88e-03    3.42e-03      6.88e-02    6.79e-02    2.4e-04
 142200      1.00e+00    9.19e-01      1.34e-03    1.10e-03      6.49e-02    5.95e-02    2.4e-04
 142300      1.03e+00    1.10e+00      2.43e-03    2.08e-03      6.64e-02    7.12e-02    2.4e-04
 142400      1.03e+00    1.01e+00      5.19e-04    2.88e-04      6.68e-02    6.52e-02    2.4e-04
 142500      9.87e-01    9.53e-01      4.60e-04    2.64e-04      6.39e-02    6.17e-02    2.4e-04
 142600      1.02e+00    1.02e+00      2.92e-03    3.04e-03      6.63e-02    6.62e-02    2.4e-04
 142700      1.01e+00    1.01e+00      9.51e-04    2.19e-03      6.54e-02    6.52e-02    2.4e-04
 142800      1.05e+00    1.04e+00      4.29e-04    5.29e-04      6.80e-02    6.70e-02    2.4e-04
 142900      1.04e+00    1.01e+00      2.58e-03    2.50e-04      6.70e-02    6.53e-02    2.4e-04
 143000      1.04e+00    9.49e-01      3.91e-03    3.39e-03      6.75e-02    6.14e-02    2.4e-04
 143100      1.07e+00    9.27e-01      1.54e-03    8.34e-04      6.93e-02    6.00e-02    2.4e-04
 143200      1.06e+00    1.00e+00      6.02e-04    2.47e-04      6.84e-02    6.49e-02    2.4e-04
 143300      9.63e-01    1.01e+00      2.21e-03    2.14e-03      6.23e-02    6.53e-02    2.4e-04
 143400      1.05e+00    1.14e+00      2.80e-03    3.29e-03      6.77e-02    7.40e-02    2.4e-04
 143500      9.96e-01    1.06e+00      3.34e-03    3.19e-03      6.44e-02    6.86e-02    2.4e-04
 143600      1.04e+00    1.29e+00      3.49e-03    2.30e-03      6.73e-02    8.33e-02    2.4e-04
 143700      1.03e+00    1.01e+00      1.30e-03    1.77e-03      6.65e-02    6.52e-02    2.4e-04
 143800      1.04e+00    9.96e-01      1.40e-03    1.40e-03      6.72e-02    6.45e-02    2.4e-04
 143900      1.03e+00    9.36e-01      1.77e-03    1.67e-03      6.67e-02    6.06e-02    2.4e-04
 144000      1.16e+00    9.91e-01      2.15e-03    1.08e-03      7.52e-02    6.41e-02    2.4e-04
 144100      1.08e+00    1.04e+00      1.71e-03    2.57e-03      6.99e-02    6.72e-02    2.4e-04
 144200      9.64e-01    9.76e-01      2.30e-03    2.11e-03      6.24e-02    6.31e-02    2.4e-04
 144300      1.03e+00    9.77e-01      1.91e-03    1.48e-03      6.69e-02    6.32e-02    2.4e-04
 144400      9.04e-01    9.66e-01      3.54e-03    3.91e-03      5.85e-02    6.24e-02    2.4e-04
 144500      1.09e+00    1.06e+00      4.46e-03    3.78e-03      7.06e-02    6.86e-02    2.4e-04
 144600      1.01e+00    9.27e-01      3.09e-03    2.03e-03      6.56e-02    6.00e-02    2.4e-04
 144700      1.06e+00    9.41e-01      1.81e-03    1.68e-03      6.89e-02    6.09e-02    2.4e-04
 144800      1.03e+00    1.06e+00      2.14e-03    1.28e-03      6.65e-02    6.89e-02    2.4e-04
 144900      1.10e+00    1.10e+00      1.17e-03    6.85e-04      7.10e-02    7.15e-02    2.4e-04
 145000      9.91e-01    1.03e+00      7.18e-04    6.88e-05      6.58e-02    6.82e-02    2.3e-04
 145100      1.03e+00    9.34e-01      1.52e-03    2.86e-03      6.85e-02    6.20e-02    2.3e-04
 145200      9.62e-01    1.01e+00      3.39e-03    3.93e-03      6.38e-02    6.67e-02    2.3e-04
 145300      1.02e+00    9.82e-01      4.33e-03    3.04e-03      6.77e-02    6.52e-02    2.3e-04
 145400      1.02e+00    1.15e+00      2.42e-03    2.17e-03      6.76e-02    7.60e-02    2.3e-04
 145500      9.46e-01    9.97e-01      4.46e-04    1.64e-04      6.28e-02    6.62e-02    2.3e-04
 145600      9.50e-01    9.48e-01      3.06e-03    3.90e-03      6.31e-02    6.29e-02    2.3e-04
 145700      1.00e+00    8.80e-01      1.67e-03    8.66e-04      6.65e-02    5.84e-02    2.3e-04
 145800      1.07e+00    9.18e-01      1.79e-03    1.33e-03      7.08e-02    6.09e-02    2.3e-04
 145900      1.04e+00    9.27e-01      7.42e-04    3.57e-04      6.88e-02    6.16e-02    2.3e-04
 146000      1.00e+00    1.03e+00      4.28e-03    3.91e-03      6.64e-02    6.87e-02    2.3e-04
 146100      1.03e+00    9.65e-01      6.65e-03    5.24e-03      6.82e-02    6.40e-02    2.3e-04
 146200      1.02e+00    9.26e-01      4.33e-04    5.36e-04      6.78e-02    6.15e-02    2.3e-04
 146300      9.87e-01    1.03e+00      1.01e-03    1.21e-03      6.56e-02    6.85e-02    2.3e-04
 146400      1.06e+00    9.45e-01      7.50e-04    4.89e-04      7.03e-02    6.27e-02    2.3e-04
 146500      1.03e+00    9.17e-01      2.03e-03    1.41e-03      6.86e-02    6.09e-02    2.3e-04
 146600      1.08e+00    1.12e+00      3.45e-03    3.67e-03      7.18e-02    7.43e-02    2.3e-04
 146700      9.90e-01    7.96e-01      2.12e-03    2.02e-03      6.57e-02    5.28e-02    2.3e-04
 146800      1.01e+00    9.34e-01      8.41e-04    6.06e-04      6.69e-02    6.21e-02    2.3e-04
 146900      1.03e+00    1.05e+00      8.29e-04    1.05e-03      6.83e-02    6.97e-02    2.3e-04
 147000      1.00e+00    1.01e+00      2.33e-03    3.07e-03      6.65e-02    6.68e-02    2.3e-04
 147100      1.05e+00    9.30e-01      4.23e-03    2.76e-03      6.93e-02    6.17e-02    2.3e-04
 147200      1.01e+00    1.01e+00      1.06e-03    2.44e-04      6.70e-02    6.69e-02    2.3e-04
 147300      1.04e+00    9.80e-01      2.65e-03    4.67e-04      6.89e-02    6.51e-02    2.3e-04
 147400      9.46e-01    1.02e+00      4.44e-03    3.77e-03      6.27e-02    6.76e-02    2.3e-04
 147500      9.81e-01    8.94e-01      3.08e-03    1.54e-03      6.51e-02    5.94e-02    2.3e-04
 147600      1.02e+00    9.12e-01      1.42e-03    1.45e-03      6.77e-02    6.05e-02    2.3e-04
 147700      9.82e-01    1.05e+00      1.44e-03    2.15e-04      6.52e-02    6.98e-02    2.3e-04
 147800      1.09e+00    9.63e-01      8.89e-04    1.15e-03      7.21e-02    6.40e-02    2.3e-04
 147900      9.83e-01    9.64e-01      7.70e-04    7.35e-04      6.53e-02    6.40e-02    2.3e-04
 148000      1.00e+00    1.11e+00      1.17e-03    1.08e-03      6.67e-02    7.37e-02    2.3e-04
 148100      1.04e+00    9.32e-01      1.14e-03    9.20e-04      6.90e-02    6.19e-02    2.3e-04
 148200      1.01e+00    9.42e-01      3.79e-03    3.93e-03      6.69e-02    6.25e-02    2.3e-04
 148300      1.09e+00    9.90e-01      1.98e-03    1.93e-03      7.23e-02    6.57e-02    2.3e-04
 148400      1.03e+00    1.04e+00      6.31e-03    5.52e-03      6.83e-02    6.86e-02    2.3e-04
 148500      9.97e-01    9.40e-01      5.83e-04    6.69e-04      6.62e-02    6.24e-02    2.3e-04
 148600      9.56e-01    1.03e+00      1.76e-03    2.44e-03      6.35e-02    6.81e-02    2.3e-04
 148700      1.00e+00    1.05e+00      3.21e-03    3.62e-03      6.67e-02    6.94e-02    2.3e-04
 148800      1.04e+00    1.01e+00      5.01e-04    3.20e-04      6.94e-02    6.73e-02    2.3e-04
 148900      9.46e-01    8.81e-01      9.60e-04    1.58e-03      6.28e-02    5.85e-02    2.3e-04
 149000      1.04e+00    7.99e-01      3.26e-04    2.04e-04      6.88e-02    5.30e-02    2.3e-04
 149100      1.06e+00    1.03e+00      1.18e-03    4.38e-04      7.07e-02    6.85e-02    2.3e-04
 149200      1.03e+00    1.08e+00      1.59e-03    2.60e-03      6.81e-02    7.15e-02    2.3e-04
 149300      9.81e-01    9.66e-01      7.86e-04    5.47e-04      6.52e-02    6.41e-02    2.3e-04
 149400      9.91e-01    1.01e+00      6.11e-03    5.27e-03      6.56e-02    6.69e-02    2.3e-04
 149500      1.10e+00    9.40e-01      3.51e-03    2.34e-03      7.27e-02    6.24e-02    2.3e-04
 149600      1.11e+00    1.01e+00      2.44e-03    3.16e-03      7.34e-02    6.67e-02    2.3e-04
 149700      9.59e-01    9.64e-01      4.46e-04    2.78e-04      6.37e-02    6.40e-02    2.3e-04
 149800      9.99e-01    1.02e+00      1.16e-03    9.04e-04      6.63e-02    6.78e-02    2.3e-04
 149900      9.98e-01    8.89e-01      9.40e-04    7.29e-04      6.63e-02    5.90e-02    2.3e-04
 150000      9.72e-01    1.05e+00      2.50e-03    2.32e-03      6.62e-02    7.18e-02    2.1e-04
 150100      9.93e-01    1.01e+00      1.85e-03    1.18e-03      6.77e-02    6.90e-02    2.1e-04
 150200      9.33e-01    9.63e-01      1.38e-03    1.05e-03      6.35e-02    6.56e-02    2.1e-04
 150300      1.06e+00    1.03e+00      4.04e-03    2.69e-03      7.19e-02    6.98e-02    2.1e-04
 150400      9.69e-01    1.00e+00      1.55e-03    1.08e-03      6.60e-02    6.84e-02    2.1e-04
 150500      9.50e-01    1.09e+00      3.74e-03    3.72e-03      6.47e-02    7.43e-02    2.1e-04
 150600      9.44e-01    9.77e-01      2.98e-03    2.07e-03      6.43e-02    6.65e-02    2.1e-04
 150700      1.02e+00    9.54e-01      2.32e-03    3.31e-03      6.92e-02    6.49e-02    2.1e-04
 150800      9.84e-01    9.40e-01      6.82e-04    3.34e-05      6.71e-02    6.40e-02    2.1e-04
 150900      9.36e-01    9.64e-01      2.39e-03    2.57e-03      6.37e-02    6.56e-02    2.1e-04
 151000      1.00e+00    8.67e-01      1.45e-03    1.09e-03      6.83e-02    5.90e-02    2.1e-04
 151100      9.93e-01    9.53e-01      5.85e-03    6.61e-03      6.75e-02    6.47e-02    2.1e-04
 151200      9.54e-01    9.29e-01      3.69e-03    4.58e-03      6.49e-02    6.32e-02    2.1e-04
 151300      9.18e-01    9.71e-01      5.22e-03    4.09e-03      6.24e-02    6.60e-02    2.1e-04
 151400      9.64e-01    9.95e-01      8.20e-04    7.48e-04      6.57e-02    6.78e-02    2.1e-04
 151500      9.92e-01    9.44e-01      8.85e-04    4.52e-04      6.76e-02    6.43e-02    2.1e-04
 151600      1.05e+00    9.28e-01      5.49e-03    5.09e-03      7.12e-02    6.30e-02    2.1e-04
 151700      9.35e-01    1.00e+00      1.84e-03    3.52e-03      6.37e-02    6.81e-02    2.1e-04
 151800      1.06e+00    9.64e-01      9.21e-04    1.17e-03      7.20e-02    6.57e-02    2.1e-04
 151900      1.01e+00    9.51e-01      1.36e-03    1.81e-03      6.87e-02    6.48e-02    2.1e-04
 152000      1.05e+00    8.69e-01      5.43e-04    1.59e-03      7.12e-02    5.92e-02    2.1e-04
 152100      9.85e-01    9.43e-01      2.82e-04    2.25e-05      6.71e-02    6.43e-02    2.1e-04
 152200      1.05e+00    9.77e-01      4.94e-03    4.29e-03      7.17e-02    6.65e-02    2.1e-04
 152300      9.76e-01    9.83e-01      6.07e-04    3.58e-04      6.65e-02    6.69e-02    2.1e-04
 152400      9.75e-01    9.90e-01      1.64e-03    2.36e-03      6.64e-02    6.74e-02    2.1e-04
 152500      1.02e+00    8.77e-01      1.41e-03    1.07e-03      6.94e-02    5.97e-02    2.1e-04
 152600      9.82e-01    1.09e+00      5.06e-04    5.56e-04      6.69e-02    7.39e-02    2.1e-04
 152700      9.62e-01    9.24e-01      4.66e-03    3.32e-03      6.54e-02    6.29e-02    2.1e-04
 152800      1.01e+00    9.43e-01      5.87e-03    5.93e-03      6.85e-02    6.41e-02    2.1e-04
 152900      9.57e-01    9.89e-01      8.38e-03    6.82e-03      6.48e-02    6.72e-02    2.1e-04
 153000      1.01e+00    9.93e-01      7.00e-03    6.30e-03      6.83e-02    6.74e-02    2.1e-04
 153100      1.03e+00    9.42e-01      1.03e-03    1.02e-03      7.01e-02    6.42e-02    2.1e-04
 153200      9.40e-01    1.04e+00      6.43e-04    4.76e-05      6.41e-02    7.10e-02    2.1e-04
 153300      9.67e-01    1.03e+00      4.81e-04    7.36e-04      6.59e-02    7.02e-02    2.1e-04
 153400      9.99e-01    8.90e-01      7.26e-03    7.68e-03      6.78e-02    6.03e-02    2.1e-04
 153500      9.95e-01    9.16e-01      2.30e-03    3.35e-03      6.77e-02    6.23e-02    2.1e-04
 153600      1.08e+00    9.52e-01      3.85e-03    2.23e-03      7.34e-02    6.48e-02    2.1e-04
 153700      9.35e-01    9.79e-01      2.64e-03    2.72e-03      6.36e-02    6.67e-02    2.1e-04
 153800      9.66e-01    1.05e+00      2.51e-04    4.68e-04      6.58e-02    7.17e-02    2.1e-04
 153900      1.01e+00    9.97e-01      5.31e-03    4.61e-03      6.85e-02    6.78e-02    2.1e-04
 154000      9.76e-01    9.47e-01      3.57e-03    3.76e-03      6.64e-02    6.44e-02    2.1e-04
 154100      9.13e-01    9.96e-01      1.61e-03    1.53e-03      6.22e-02    6.78e-02    2.1e-04
 154200      1.02e+00    9.77e-01      9.32e-03    9.25e-03      6.88e-02    6.61e-02    2.1e-04
 154300      9.73e-01    9.58e-01      3.29e-03    4.30e-03      6.62e-02    6.51e-02    2.1e-04
 154400      9.39e-01    1.07e+00      4.22e-04    8.25e-04      6.40e-02    7.30e-02    2.1e-04
 154500      9.66e-01    9.54e-01      3.19e-04    3.19e-04      6.58e-02    6.50e-02    2.1e-04
 154600      9.94e-01    8.91e-01      5.36e-03    4.65e-03      6.76e-02    6.06e-02    2.1e-04
 154700      9.37e-01    9.21e-01      1.15e-03    1.22e-03      6.39e-02    6.27e-02    2.1e-04
 154800      9.60e-01    1.04e+00      1.56e-03    1.63e-03      6.54e-02    7.05e-02    2.1e-04
